aaa	T01445	Acidovorax avenae
muc	T05010	Mucilaginibacter sp. BJC16-A31
muh	T05668	Mucilaginibacter sp. HYN0043
mul	T00435	Mycobacterium ulcerans
mun	T05884	Meriones unguiculatus (Mongolian gerbil)
mup	T04335	Mucilaginibacter sp. PAMC 26640
mur	T05825	Muriicola sp. MMS17-SY002
mus	T03447	Musa acuminata (wild Malaysian banana)
mva	T00449	Mycolicibacterium vanbaalenii
mvc	T03815	Methanosarcina vacuolata
mvd	T04252	Microterricola viridarii
mve	T03029	Mannheimia varigena USDA-ARS-USMARC-1388
mvg	T03028	Mannheimia varigena USDA-ARS-USMARC-1312
mvi	T03027	Mannheimia varigena USDA-ARS-USMARC-1296
mvn	T00554	Methanococcus vannielii
mvo	T01251	Methanococcus voltae
mvq	T04356	Mycolicibacterium vaccae
mvr	T03026	Mannheimia sp. USDA-ARS-USMARC-1261
mvs	T03770	Moritella viscosa
mvu	T01105	Methanocaldococcus vulcanius
mwe	T02179	Mycoplasma wenyonii
mwo	T04587	Methanothermobacter wolfeii
mxa	T00366	Myxococcus xanthus
mya	T05564	Moritella yayanosii
myb	T02920	Myotis brandtii (Brandt's bat)
myd	T02992	Myotis davidii
mye	T03960	Mycobacterium sp. EPa45
myg	T04239	Mycoplasma sp. (ex Biomphalaria glabrata)
myi	T05079	Mizuhopecten yessoensis (Yesso scallop)
myl	T05409	Mycetocola sp. 449
mym	T04077	Myxococcus hansupus
myn	T05013	Mycobacterium sp. NRRL B-3805
myo	T02732	Mycobacterium intracellulare subsp. yongonense
myr	T03521	Myroides sp. A21
myt	T03676	Mycoplasma yeatsii
myv	T03634	Mycobacterium sp. VKM Ac-1817D
myz	T04543	Myroides sp. ZB35
mza	T04981	Methylorubrum zatmanii
mze	T02814	Maylandia zebra (zebra mbuna)
mzh	T01541	Methanosalsum zhilinae
naa	T04255	Candidatus Nanopusillus acidilobi
nab	T05091	Candidatus Nanopelagicus abundans
nac	T04498	Nanohaloarchaea archaeon SG9
nae	T04559	Neomicrococcus aestuarii
naf	T04833	Candidatus Nucleicultrix amoebiphila
nag	T05593	Natronolimnobius sp. AArc-Mg
nai	T04867	Necator americanus
naj	T04999	Natronolimnobius aegyptiacus JW/NM-HA 15
nak	T05729	Nakamurella sp. s14-144
nal	T02218	Nocardiopsis alba
nam	T00860	Nautilia profundicola
nan	T05614	Natronolimnobius sp. AArc1
nao	T04935	Nitrospirillum amazonense
nap	T05986	Nautilia sp. PV-1
nar	T00322	Novosphingobium aromaticivorans
nat	T02184	Natrinema sp. J7-2
nau	T05870	Nicotiana attenuata
naz	T01260	'Nostoc azollae' 0708
nba	T05482	Neisseriaceae bacterium DSM 100970
nbg	T05942	Natronorubrum bangense
nbr	T02270	Nocardia brasiliensis
nbv	T03537	Candidatus Nitrosopelagicus brevis
nca	T00443	Nocardioides sp. JS614
ncb	T05262	Niveispirillum cyanobacteriorum
ncc	T04920	Notothenia coriiceps (black rockcod)
nce	T01614	Nosema ceranae
nch	T04705	Neoasaia chiangmaiensis
ncn	T04905	Nostocales cyanobacterium HT-58-2
nco	T03942	Nitrosomonas communis
ncr	T01034	Neurospora crassa
ncs	T02233	Naumovozyma castellii
nct	T04846	Candidatus Nitrosomarinus catalina
ncv	T05329	Candidatus Nitrosocaldus cavascurensis
ncy	T01756	Nocardia cyriacigeorgica
nda	T01248	Nocardiopsis dassonvillei
nde	T01281	Nitrospira defluvii
ndi	T02234	Naumovozyma dairenensis
ndk	T04431	Nocardioides dokdonensis
ndl	T02782	Candidatus Nasuia deltocephalinicola
ndo	T02441	Nonlabens dokdonensis
ndv	T04889	Candidatus Nitrosotalea devanaterra
nei	T05718	Neisseria sp. 10023
nek	T05913	Neisseria sp. KEM232
nel	T03569	Neisseria elongata
nen	T05650	Neorhizobium sp. NCHU2750
neo	T05626	Neorhizobium sp. SOG26
neq	T00152	Nanoarchaeum equitans
net	T00393	Nitrosomonas eutropha
neu	T00130	Nitrosomonas europaea
nev	T03224	Candidatus Nitrososphaera evergladensis
ney	T05849	Neochlamydia sp. S13
nfa	T00207	Nocardia farcinica IFM 10152
nfi	T01070	Aspergillus fischeri
nfl	T05266	Nostoc flagelliforme
nfn	T05935	Candidatus Nitrosocosmicus franklandus
nfr	T04524	Nocardia farcinica NCTC11134
nfu	T05163	Nothobranchius furzeri (turquoise killifish)
nga	T02305	Candidatus Nitrososphaera gargensis
ngd	T02917	Nannochloropsis gaditana
nge	T02383	Natronobacterium gregoryi
ngg	T03244	Neorhizobium galegae bv. orientalis HAMBI 540
ngi	T03372	Nannospalax galili (Upper Galilee mountains blind mole rat)
ngk	T00728	Neisseria gonorrhoeae NCCP11945
ngl	T03208	Neorhizobium galegae bv. officinalis bv. officinalis HAMBI 1141
ngo	T00237	Neisseria gonorrhoeae FA 1090
ngr	T01241	Naegleria gruberi
ngv	T05022	Nocardiopsis gilva
nha	T00348	Nitrobacter hamburgensis
nhe	T01612	Nectria haematococca
nhi	T05090	Candidatus Nanopelagicus hibericus
nhl	T01198	Nitrosococcus halophilus
nhm	T03076	Neorickettsia helminthoeca
nia	T04418	Niabella ginsenosidivorans
nid	T03656	Candidatus Nitrosopumilus piranensis
nii	T01569	Nitrosomonas sp. Is79A3
nin	T03758	Candidatus Nitrosopumilus adriaticus
nio	T04169	Candidatus Nitrospira inopinata
nir	T02303	Candidatus Nitrosopumilus sediminis
nis	T00565	Nitratiruptor sp. SB155-2
nit	T01443	Nitrosomonas sp. AL212
nja	T05001	Nitrospira japonica
nko	T01679	Niastella koreensis
nkr	T02304	Candidatus Nitrosopumilus koreensis
nla	T01368	Neisseria lactamica
nlc	T04907	Nitrosospira lacus
nle	T03265	Nomascus leucogenys (northern white-cheeked gibbon)
nma	T00031	Neisseria meningitidis Z2491 (serogroup A)
nmc	T00458	Neisseria meningitidis FAM18 (serogroup C)
nmd	T01929	Neisseria meningitidis G2136 (serogroup B)
nme	T00027	Neisseria meningitidis MC58 (serogroup B)
nmg	T01176	Natrialba magadii
nmh	T01946	Neisseria meningitidis H44/76 (serogroup B)
nmi	T00954	Neisseria meningitidis alpha14 (cnl strain)
nmj	T05436	Neisseria mucosa
nml	T00991	Nakamurella multipartita
nmm	T01930	Neisseria meningitidis M01-240149 (serogroup B)
nmn	T00633	Neisseria meningitidis 053442 (serogroup C)
nmo	T02478	Natronomonas moolapensis
nmp	T01932	Neisseria meningitidis alpha710 (serogroup B)
nmq	T01948	Neisseria meningitidis M04-240196 (serogroup B)
nmr	T00626	Nitrosopumilus maritimus
nms	T01947	Neisseria meningitidis M01-240355 (serogroup B)
nmt	T01928	Neisseria meningitidis 8013 (serogroup C)
nmu	T00302	Nitrosospira multiformis
nmv	T04041	Nitrospira moscoviensis
nmw	T01931	Neisseria meningitidis WUE 2594 (serogroup A)
nmx	T03438	Neisseria meningitidis 510612  (serogroup A)
nmz	T01949	Neisseria meningitidis NZ-05/33 (serogroup B)
nni	T05756	Nipponia nippon (crested ibis)
nno	T03032	Nocardia nova
nnu	T04131	Nelumbo nucifera (sacred lotus)
noa	T04759	Nonomuraea sp. ATCC 55076
nob	T05253	Nonlabens sp. MB-3u-79
noc	T00281	Nitrosococcus oceani
noe	T05285	Nostoc sp. CENA543
noj	T05856	Nonlabens sp. MJ115
nom	T04144	Nonlabens sp. MIC269
non	T04170	Nostoc sp. NIES-3756
nop	T02363	Nostoc sp. PCC 7524
nos	T02362	Nostoc sp. PCC 7107
not	T05635	Novosphingobium sp. THN1
nou	T02426	Natronococcus occultus
nov	T05550	Novosphingobium sp. P6W
noy	T05931	Nocardioides sp. MMS17-SY117
npa	T03126	Neofusicoccum parvum
npe	T02425	Natrinema pellirubrum
nph	T00279	Natronomonas pharaonis
npn	T03399	Novosphingobium pentaromativorans
npp	T01515	Novosphingobium sp. PP1Y
npr	T04897	Nanorana parkeri
npu	T00713	Nostoc punctiforme
nre	T04490	Novosphingobium resinovorum
nri	T00951	Neorickettsia risticii
nsa	T01405	Nitratifractor salsuginis
nsd	T04875	Nonlabens sediminis
nse	T00329	Neorickettsia sennetsu
nsi	T04958	Neisseria sicca
nsl	T04582	Nocardia sp. Y48
nso	T03682	Niabella soli
nsp	T05403	Nodularia spumigena
nsr	T04599	Nocardia seriolae
nsy	T05026	Nicotiana sylvestris
nta	T04643	Nicotiana tabacum (common tobacco)
ntd	T05741	Novosphingobium tardaugens
nte	T03451	Neurospora tetrasperma
nth	T00761	Natranaerobius thermophilus
nto	T05025	Nicotiana tomentosiformis
ntp	T05168	Nocardia terpenica
ntr	T04694	Novibacillus thermophilus
ntt	T05173	Candidatus Nitrosoglobus terrae
nur	T04188	Nitrosomonas ureae
nve	T01037	Nematostella vectensis (sea anemone)
nvi	T01081	Nasonia vitripennis (jewel wasp)
nvl	T04922	Nicrophorus vespilloides
nvn	T03200	Nitrososphaera viennensis
nvr	T05974	Natrinema versiforme
nwa	T01266	Nitrosococcus watsonii
nwe	T04355	Neisseria weaveri
nwi	T00276	Nitrobacter winogradskyi
nwr	T05933	Nitrosococcus wardiae
nzs	T02674	Strawberry lethal yellows phytoplasma (CPA) NZSb11
oaa	T01045	Ornithorhynchus anatinus (platypus)
oac	T02368	Oscillatoria acuminata
oah	T03251	Ochrobactrum anthropi OAB
oai	T04028	Oleispira antarctica
oan	T00568	Ochrobactrum anthropi ATCC 49188
oaq	T05582	Olleya aquimaris
oar	T02539	Octadecabacter arcticus
oas	T03117	Ovis aries (sheep)
oat	T02538	Octadecabacter antarcticus
obg	T04567	Lacunisphaera limnophila
obi	T04127	Octopus bimaculoides
obo	T05778	Ooceraea biroi (clonal raider ant)
obr	T02995	Oryza brachyantha (malo sina)
obt	T03683	Opitutaceae bacterium TAV5
oca	T00783	Oligotropha carboxidovorans OM5 (Mississippi)
oce	T01667	Oceanimonas sp. GK1
ocg	T01617	Oligotropha carboxidovorans OM5 (Goettingen)
och	T05040	Ochrobactrum sp. A44
ocm	T04855	Oceanisphaera avium
ocn	T05570	Oceanobacillus sp. 160
oco	T01967	Oligotropha carboxidovorans OM4
ocu	T03373	Oryctolagus cuniculus (rabbit)
odi	T05133	Orrella dioscoreae
oen	T05781	Oenococcus sp. UCMA 16435
oeu	T05244	Olea europaea var. sylvestris (wild olive)
ofo	T04835	Oxalobacter formigenes
oho	T01677	Owenweeksia hongkongensis
oih	T00093	Oceanobacillus iheyensis
ola	T02443	Oryzias latipes (Japanese medaka)
oll	T05214	Olleya sp. Bg11-27
olo	T04016	Olsenella sp. oral taxon 807
ols	T01285	Olsenella uli
olu	T01029	Ostreococcus lucimarinus
ome	T04860	Oleiphilus messinensis
oni	T02375	Oscillatoria nigro-viridis
ooe	T00408	Oenococcus oeni
oor	T05247	Orcinus orca (killer whale)
opf	T04856	Oceanisphaera profunda
opo	T04310	Obesumbacterium proteus
opr	T01369	Oceanithermus profundus
ops	T04415	Ochrobactrum pseudogrignonense
orh	T02145	Ornithobacterium rhinotracheale DSM 15997
ori	T03303	Ornithobacterium rhinotracheale ORT-UMN 88
orn	T05559	Ornithinimicrobium sp. AMA3305
oro	T05148	Odobenus rosmarus divergens (Pacific walrus)
osa	T01015	Oryza sativa japonica (Japanese rice) (RefSeq)
osg	T04832	Oceanicoccus sagamiensis
osi	T05833	Oenococcus sicerae
osp	T01428	Odoribacter splanchnicus
ota	T01358	Ostreococcus tauri
ote	T00689	Opitutus terrae
otk	T05363	Ottowia oryzae
otm	T04001	Octadecabacter temperatus
oto	T04031	Ottowia sp. oral taxon 894
ots	T00531	Orientia tsutsugamushi Boryong
ott	T00705	Orientia tsutsugamushi Ikeda
otw	T05605	Oncorhynchus tshawytscha (Chinook salmon)
our	T05343	Oligella urethralis
ova	T01636	Oscillibacter valericigenes
ovi	T04902	Opisthorchis viverrini
paa	T00732	Prosthecochloris aestuarii
pab	T00024	Pyrococcus abyssi
paby	T04681	Pelagibaca abyssi
pac	T00188	Cutibacterium acnes KPA171202
paca	T03232	Candidatus Paracaedibacter acanthamoebae
pacc	T02330	Cutibacterium acnes C1
pacd	T05713	Propionibacterium acidifaciens
pace	T04585	Pelobacter acetylenicus
pach	T02638	Cutibacterium acnes HL096PA1
paci	T04512	Pediococcus acidilactici
pacn	T03470	Cutibacterium acnes hdn-1
pact	T05632	Pontibacter actiniarum
pad	T01972	Cutibacterium acnes subsp. defendens ATCC 11828
pade	T05857	Candidatus Pseudomonas adelgestsugas (Adelges tsugae)
pae	T00035	Pseudomonas aeruginosa PAO1
paea	T03356	Paenibacillus sp. FSL R7-0273
paeb	T03789	Pseudomonas aeruginosa NCGM 1900
paec	T03098	Pseudomonas aeruginosa c7447m
paee	T03357	Paenibacillus sp. FSL R7-0331
paef	T03333	Paenibacillus sp. FSL R5-0345
paeg	T03035	Pseudomonas aeruginosa YL84
paeh	T03358	Paenibacillus sp. FSL H7-0357
paei	T03170	Pseudomonas aeruginosa PAO1-VE2
paej	T03359	Paenibacillus sp. FSL H7-0737
paek	T05647	Paenisporosarcina sp. K2R23-3
pael	T02970	Pseudomonas aeruginosa LES431
paem	T02951	Pseudomonas aeruginosa MTB-1
paen	T03332	Paenibacillus sp. FSL P4-0081
paeo	T03171	Pseudomonas aeruginosa PAO581
paep	T02928	Pseudomonas aeruginosa PA1
paeq	T03334	Paenibacillus sp. FSL R5-0912
paer	T02929	Pseudomonas aeruginosa PA1R
paes	T02971	Pseudomonas aeruginosa SCV20265
paet	T05989	Pasteurella aerogenes
paeu	T03031	Pseudomonas aeruginosa PA38182
paev	T03097	Pseudomonas aeruginosa PAO1-VE13
paf	T01973	Pseudomonas aeruginosa M18
pag	T00818	Pseudomonas aeruginosa LESB58
pagc	T04739	Pantoea agglomerans C410P1
pagg	T04302	Pantoea vagans FDAARGOS_160
pagh	T05658	Planktothrix agardhii
pah	T01485	Porphyromonas asaccharolytica
pai	T00073	Pyrobaculum aerophilum
paih	T05348	Paenibacillus sp. IHB B 3084
paj	T01969	Pantoea ananatis AJ13355
pak	T01215	Cutibacterium acnes SK137
pal	T00752	Candidatus Phytoplasma australiense
pala	T05107	Providencia alcalifaciens
palc	T04318	Pseudomonas alcaligenes
pale	T02993	Pteropus alecto (black flying fox)
palh	T05014	Pantoea alhagi
pali	T04320	Psychrobacter alimentarius
palk	T03238	Pseudomonas alkylphenolica
paln	T04815	Pseudoalteromonas aliena
paly	T03834	Candidatus Portiera aleyrodidarum MED
pam	T01195	Pantoea ananatis LMG 20103
pamg	T05354	Pseudomonas amygdali
pami	T02792	Paracoccus aminophilus
pamn	T05468	Paracoccus aminovorans
pan	T01048	Podospora anserina
pana	T04428	Planococcus antarcticus
panc	T05927	Paenisporosarcina antarctica
panp	T03514	Pantoea sp. PSNIH2
panr	T04830	Pseudomonas antarctica
pant	T03464	Pantoea sp. PSNIH1
pao	T01386	Pantoea sp. At-9b
pap	T00569	Pseudomonas aeruginosa PA7
papi	T03588	Pandoraea apista
paq	T01970	Pantoea ananatis PA13
par	T00256	Psychrobacter arcticus
para	T04966	Paraburkholderia sp. SOS3
parb	T05169	Paraburkholderia aromaticivorans
parc	T05011	Parabacteroides sp. CT06
paro	T05237	Paracoccus sp. BM15
pars	T05723	Paracoccus sp. SC2-6
part	T05179	Pseudoalteromonas arctica
paru	T05276	Paracoccus sp. CBA4604
pary	T04438	Muribaculum intestinale
pas	T00503	Pyrobaculum arsenaticum
pat	T00372	Pseudoalteromonas atlantica
pato	T03293	Pectobacterium atrosepticum 21A
patr	T03199	Pectobacterium atrosepticum JG10-08
pau	T00401	Pseudomonas aeruginosa UCBPP-PA14
pav	T01654	Cutibacterium acnes TypeIA2 P.acn17
pavi	T05161	Prunus avium (sweet cherry)
pavl	T05369	Pseudomonas avellanae
paw	T01971	Cutibacterium acnes 266
pax	T01655	Cutibacterium acnes TypeIA2 P.acn31
pay	T00941	Photorhabdus asymbiotica
paz	T01656	Cutibacterium acnes TypeIA2 P.acn33
pazo	T04879	Pseudomonas azotoformans
pba	T01472	Pseudomonas brassicacearum subsp. brassicacearum NFM421
pbar	T04903	Pogonomyrmex barbatus (red harvester ant)
pbas	T04749	Phycisphaerae bacterium SM-Chi-D1
pbb	T04152	Oblitimonas alkaliphila
pbc	T03174	Pseudomonas brassicacearum DF41
pbd	T03324	Paenibacillus borealis
pbe	T01111	Plasmodium berghei
pbf	T05438	Candidatus Promineofilum breve
pbh	T04216	Polyangium brachysporum
pbi	T03091	Python bivittatus (Burmese python)
pbj	T03802	Paenibacillus beijingensis
pbl	T02230	Paracoccidioides lutzii Pb01
pbm	T03573	Pseudomonas balearica
pbn	T03549	Paracoccidioides brasiliensis Pb18
pbo	T02345	Acidipropionibacterium acidipropionici ATCC 4875
pbor	T04622	Paludisphaera borealis
pbp	T05439	Sedimentisphaera salicampi
pbq	T05383	Peptostreptococcaceae bacterium oral taxon 929
pbr	T01298	Parvularcula bermudensis
pbs	T01431	Rubinisphaera brasiliensis
pbt	T03818	Fermentimonas caenicola
pbu	T04695	Sedimentisphaera cyanobacteriorum L21-RPul-D3
pbv	T04407	Paenibacillus bovis
pbw	T04175	Pseudoalteromonas sp. Bsw20308
pca	T00285	Pelobacter carbinolicus
pcan	T05881	Pomacea canaliculata (golden apple snail)
pcat	T05797	Parolsenella catena
pcb	T01108	Plasmodium chabaudi
pcc	T02320	Pectobacterium carotovorum subsp. carotovorum PCC21
pcd	T05419	Mixta calida
pce	T01713	Pediococcus claussenii
pcf	T05611	Polistes canadensis
pcg	T04842	Pseudomonas corrugata
pch	T03201	Pseudomonas chlororaphis PA23
pci	T03002	Pseudomonas cichorii
pcj	T05740	Paraburkholderia caledonica
pck	T03853	Candidatus Pantoea carbekii US
pcl	T00483	Pyrobaculum calidifontis
pcm	T04341	Pedobacter cryoconitis
pcn	T02065	Cutibacterium acnes 6609
pco	T03128	Phanerochaete carnosa
pcon	T04876	Paracoccus contaminans
pcp	T03338	Pseudomonas chlororaphis subsp. aurantiaca
pcq	T04637	Pseudomonas citronellolis
pcr	T00350	Psychrobacter cryohalolentis
pcre	T05510	Porphyromonas crevioricanis
pcs	T01091	Penicillium rubens
pct	T00934	Pectobacterium carotovorum subsp. carotovorum PC1
pcu	T00172	Candidatus Protochlamydia amoebophila
pcv	T03424	Pectobacterium carotovorum subsp. odoriferum
pcw	T05867	Phascolarctos cinereus (koala)
pcx	T05196	Paenibacillus crassostreae
pcy	T02490	Plasmodium cynomolgi
pcz	T03768	Pseudomonas chlororaphis PCL1606
pda	T03274	Phoenix dactylifera (date palm)
pdag	T05467	Pasteurella dagmatis
pdam	T05773	Pocillopora damicornis (lace coral)
pdc	T03885	Clostridioides difficile 630
pde	T00440	Paracoccus denitrificans
pdf	T03785	Clostridioides difficile 630Derm
pdg	T04451	Planococcus donghaensis
pdh	T04971	Paenibacillus donghaensis
pdi	T00549	Parabacteroides distasonis
pdj	T05890	Pseudoalteromonas donghaensis
pdk	T02161	Pseudomonas aeruginosa DK2
pdl	T04114	Pyrodictium delaneyi
pdm	T04321	Pediococcus damnosus
pdn	T01459	Prevotella denticola
pdo	T03978	Parascardovia denticolens
pdp	T04849	Penicillium digitatum
pdq	T04207	Polynucleobacter duraquae
pdr	T02524	Pseudomonas sp. ATCC 13867
pds	T04927	Photobacterium damselae subsp. damselae
pdt	T02403	Prevotella dentalis
pdu	T03297	Paenibacillus durus
pdx	T01479	Pseudonocardia dioxanivorans
pea	T04989	Pseudoalteromonas espejiana
pec	T02514	Pectobacterium parmentieri SCC3193
pecq	T04234	Pseudonocardia sp EC080619-01
ped	T03807	Peptoniphilus sp. ING2-D1G
pef	T04594	Pelobacter sp. SFB93
pel	T01465	Candidatus Pelagibacter sp. IMCC9063
pen	T00362	Pseudomonas entomophila
peo	T04173	Prevotella enoeca
pep	T04140	Pedobacter sp. PACM 27299
peq	T05601	Phalaenopsis equestris
pes	T03006	Candidatus Sodalis pierantonius
pet	T05132	Petrimonas sp. IBARAKI
pfa	T00095	Plasmodium falciparum 3D7
pfac	T05784	Phascolarctobacterium faecium
pfae	T04955	Planococcus faecalis
pfb	T03769	Pseudomonas synxantha LBUM223
pfc	T02114	Pseudomonas fluorescens A506
pfd	T01051	Plasmodium falciparum Dd2
pfe	T01734	Pseudomonas fluorescens F113
pff	T03767	Pseudomonas fluorescens PICF7
pfg	T03972	Pandoraea faecigallinarum
pfh	T01052	Plasmodium falciparum HB3
pfi	T02183	Pyrococcus furiosus COM1
pfj	T03109	Pseudocercospora fijiensis
pfk	T04786	Pseudomonas frederiksbergensis
pfl	T00249	Pseudomonas protegens Pf-5
pfm	T01620	Pyrolobus fumarii
pfn	T03319	Pseudomonas fluorescens UK4
pfo	T00283	Pseudomonas fluorescens Pf0-1
pfp	T03141	Anthracocystis flocculosa
pfq	T03952	Pragia fontium
pfr	T01252	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1
pfre	T03860	Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
pfs	T00899	Pseudomonas fluorescens SBW25
pft	T03813	Pelosinus fermentans
pfu	T00075	Pyrococcus furiosus DSM 3638
pfus	T04032	Prevotella fusca
pfv	T01501	Pseudomonas fulva
pfw	T03766	Pseudomonas fluorescens PCL1751
pfx	T04730	Pseudomonas fluorescens L228
pfy	T04924	Pestalotiopsis fici
pfz	T04285	Pseudomonas fragi
pga	T02192	Phaeobacter inhibens DSM 17395
pgb	T03698	Photobacterium gaetbulicola
pgc	T05003	Pseudomyrmex gracilis
pgd	T02968	Phaeobacter gallaeciensis DSM 26640
pge	T03300	Pluralibacter gergoviae
pgi	T00145	Porphyromonas gingivalis W83
pgl	T02193	Phaeobacter inhibens 2.10
pgm	T03325	Paenibacillus graminis
pgn	T00714	Porphyromonas gingivalis ATCC 33277
pgp	T05548	Paraburkholderia graminis
pgr	T02226	Puccinia graminis
pgs	T05145	Pedobacter ginsengisoli
pgt	T01516	Porphyromonas gingivalis TDC60
pgu	T01150	Meyerozyma guilliermondii
pgv	T01458	Polymorphum gilvum
pgz	T05418	Mixta gaviniae
pha	T00282	Pseudoalteromonas haloplanktis
phar	T05838	Peptoniphilus harei
phau	T05854	Proteus hauseri
phb	T05485	Phenylobacterium sp. HYN0004
phc	T04473	Planococcus halocryophilus
phd	T02909	Pantholops hodgsonii (chiru)
phe	T00978	Pedobacter heparinus
phei	T05509	Providencia heimbachae
phh	T04486	Pseudonocardia sp. HH130630-07
phi	T02921	Pseudopodoces humilis (Tibetan ground-tit)
phl	T01645	Pelagibacterium halotolerans
phm	T01800	Phycisphaera mikurensis
phn	T04704	Paenalcaligenes hominis
pho	T00014	Pyrococcus horikoshii
php	T04595	Phaeobacter porticola
phq	T05617	Phaeobacter sp. LSS9
phr	T05356	Phreatobacter sp. S-12
phs	T05305	Paraburkholderia hospita
pht	T05167	Phyllobacterium zundukense
phu	T01223	Pediculus humanus corporis (human body louse)
phy	T04277	Pseudothermotoga hypogea
phyp	T05759	Pangasianodon hypophthalmus (striped catfish)
phz	T05364	Porphyrobacter sp. HT-58-2
pia	T04164	Pseudoalteromonas issachenkonii
pib	T05154	Paenibacillus ihbetae
pic	T01023	Scheffersomyces stipitis
pif	T01333	Phytophthora infestans
pig	T05719	Pigmentiphaga sp. H8
pih	T03836	Paenibacillus sp. IHBB 10380
pin	T00450	Psychromonas ingrahamii
pio	T05337	Pediococcus inopinatus
pir	T04360	Pirellula sp. SH-Sr6A
pis	T00444	Pyrobaculum islandicum
pit	T02058	Prevotella intermedia
pjd	T00977	Paenibacillus sp. JDR-2
pje	T05287	Prevotella jejuni
pkb	T05249	Paenibacillus kribbensis
pkc	T03081	Pseudomonas knackmussii
pki	T05788	Paramormyrops kingsleyae
pkn	T01094	Plasmodium knowlesi
pko	T03841	Pontibacter korlensis
pkr	T04647	Pseudomonas koreensis
pkt	T04227	Paucibacter sp. KCTC 42545
pku	T04200	Planococcus kocurii
pla	T00580	Parvibaculum lavamentivorans
plab	T05377	Plantactinospora sp. BC1
plak	T05051	Candidatus Planktophila dulcis
plan	T05050	Candidatus Planktophila lacus
plap	T05731	Plantibacter sp. PA-3-X8
plat	T05391	Plantactinospora sp. BB1
